Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr13,Attr15,Attr16,Attr17,Attr18,Attr19
FABRICATION,LMFB-002,BEND,FAB,923115,A407031,2,0,STEEL,BARE,0,SEGM,0.322,Y52,HFW,RC,ABOVE GROUND
FABRICATION,JXR-46,FAB,BEND,B416740,923115,2,0,STEEL,BARE,0,SEGM,0.322,,HFW,,ABOVE GROUND
FABRICATION,JXR-46,FLANGE,FAB,A/SA105N,B416740,0.45,0,STEEL,BARE,0,STD,0.322,,HFW,,ABOVE GROUND
FABRICATION,UNK,FAB,FLANGE,B416740,A/SA105N,2,0,STEEL,BARE,0,,0.322,,HFW,CH,ABOVE GROUND
FABRICATION,JXR-48,BEND,FAB,923115,B416740,2,0,STEEL,BARE,0,SEGM,0.322,,HFW,CH,ABOVE GROUND
FABRICATION,LMFB-003,FAB,BEND,A407031,923115,9.5,0,STEEL,FUSION BONDED EPOXY,14-16,EDGEN MURRAY,0.322,X52M,HFW,RC,ABOVE GROUND
FABRICATION,PT-4,APP,FAB,,B416740,0.1,0,STEEL,BARE,0,,0,F52,UNDETERMINED,,ABOVE GROUND
FABRICATION,JXR-63,FLANGE,APP,A/SA105N,,0.25,0,STEEL,BARE,0,PPI,0,B16,UNDETERMINED,,ABOVE GROUND
FABRICATION,JXR-68,FAB,FLANGE,N3078669,A/SA105N,1,0,STEEL,BARE,0,,0,,UNDETERMINED,,ABOVE GROUND
FABRICATION,JXR-67,APP,FAB,,N3078669,0.1,0,STEEL,BARE,0,,0,,UNDETERMINED,,ABOVE GROUND
FABRICATION,PT-5,APP,FAB,,B416740,0.1,0,STEEL,BARE,0,,0,F52,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,0,FLANGE,APP,A/SA105N,,0.25,0,STEEL,BARE,0,PPI,0,B16,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,0,FAB,FLANGE,N3078669,A/SA105N,1,0,STEEL,BARE,0,,0,,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,0,APP,FAB,,N3078669,0.1,0,STEEL,BARE,0,,0,,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,LMFB-003,BEND,FAB,HE666,S70672,1.4,0,STEEL,BARE,0,SEGM,0.28,Y52,HFW,RC,ABOVE GROUND
FABRICATION,0,FAB,BEND,S70672,HE666,2,0,STEEL,BARE,0,,0.28,,HFW,CH,ABOVE GROUND
FABRICATION,0,FLANGE,FAB,A/SA105N,S70672,0.45,0,STEEL,BARE,0,,0.28,,HFW,CH,ABOVE GROUND
FABRICATION,JXR-68,FAB,FLANGE,S70672,A/SA105N,2,0,STEEL,BARE,0,,0.28,,HFW,CH,ABOVE GROUND
FABRICATION,JXR-69,BEND,FAB,HE666,S70672,1.4,0,STEEL,BARE,0,SEGM,0.28,Y52,HFW,CH,ABOVE GROUND
FABRICATION,LMFB-002,FAB,BEND,676210,HE666,12,0,STEEL,FUSION BONDED EPOXY,14-16,EDGEN MURRAY,0.28,X52M,HFW,KB,ABOVE GROUND
FABRICATION,JPT-3,APP,FAB,A694,S70672,0.1,0,STEEL,BARE,0,,0,F52,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,na,FLANGE,APP,SA105N,A694,0.25,0,STEEL,BARE,0,WELDBEND,0,B16,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,na,APP,FAB,A694,S70672,0.1,0,STEEL,BARE,0,,0,F52,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,JXR-80,FLANGE,APP,SA105,A694,0.25,0,STEEL,BARE,0,WELDBEND,0,B16,UNDETERMINED,CH,ABOVE GROUND
FABRICATION,LMFB-014,BEND,FAB,AR3E7,SP94342,2,8.7,STEEL,BARE,0,SEGM,0.322,Y52,HFW,EM,
FABRICATION,JXR-56,FAB,BEND,A407031,AR3E7,5,9.6,STEEL,FUSION BONDED EPOXY,14-16,EDGEN MURRAY,0.322,X52M,HFW,SO,
FABRICATION,,FAB,FAB,SP94342,A407031,25.2,9.5,STEEL,FBE AND ARO,0,EDGEN MURRAY,0.322,X52M,HFW,EM,
FABRICATION,,FAB,FAB,SP94339,SP94342,42,9.4,STEEL,FBE AND ARO,0,EDGEN MURRAY,0.322,X52M,HFW,EM,
FABRICATION,LMTI-051,FAB,FAB,A407031,SP94339,5,8.9,STEEL,FUSION BONDED EPOXY,14-16,EDGEN MURRAY,0.322,X52M,HFW,EM,
FABRICATION,,BEND,FAB,AR3E7,A407031,2,8.8,STEEL,BARE,0,EDGEN MURRAY,0.322,Y52,HFW,SO,
FABRICATION,LMFB-011,FAB,BEND,SP94339,ARE37,10.6,8.3,STEEL,FUSION BONDED EPOXY,14-16,EDGEN MURRAY,0.322,X52M,HFW,KB,
