Job:RCA_041725_DEVON,,Version:24.00,Units:USSurveyFeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+00.00,RC48467,912897.591,677783.158,4726.389,CKS,CKS:CHECK_SHOT_ID,BS131,CKS:MONUMENT #,CHECK IN,CKS:CREW_IDENTIFIER,TOPOGRAPHIC,CKS:STD_COMMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+01.00,BS131,912897.525,677783.134,4726.417,CP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+02.50,CL1,945698.614,684888.645,0,0+00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+03.00,CL2,945698.45,685105.011,0,2+16.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+03.50,CL3,946321.427,685138.69,0,8+40.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+04.00,CL4,946676.631,685476.241,0,13+30.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+04.50,RC48468,949368,685574.759,4627.023,NG,NG:STD_COMMENTS,DIRT,NG:STD_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+04.50,RC48468,949365.735,685584.433,4622.788,LE,LE:JOINT NUMBER,2JT-94,LE:HEAT NUMBER,A500508,LE:STD_COMMENTS,41+91-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+04.50,RC48470,949393.56,685586.14,4623.073,PIPE,PIPE:JOINT,2JT-9,PIPE:JOINT LENGTH,44.9,PIPE:PIPE_LENGTH_HEAT_NUMBER,500508,PIPE:ABOVE_GROUND_STATUS_D,BELOW GROUND,PIPE:CATH_PRTCTN_RNG_PRT_LF_D,YES,PIPE:CATH_PRTCTN_RNG_TYPE_D,MAGNESIUM BAGS,PIPE:PIPE_LENGTH_END_TREATMENT_D,UNKNOWN,PIPE:PIPE_SEG_MANUFACTURER_D,AXIS,PIPE:PIPE_SEG_DATE_MANUFACTURED,4/17/2025,PIPE:PIPE_SEG_MILL_LOC_D,UNKNOWN,PIPE:PIPE_SEG_MILL_TST_PRESSURE,2050,PIPE:PIPE_SEG_MATERIAL_D,STEEL,PIPE:PIPE_SEG_NML_DIAM_D,12,PIPE:PIPE_SEG_NML_WAL_THICKNS_G_D,0.25,PIPE:PIPE_SEG_PIPE_LNG_SEAM_D,OTHER,PIPE:PIPE_SEG_SPECIFICATION_D,API 5L,PIPE:PIPE_SEG_PIPE_GRADE_D,X52M,PIPE:PIPE_SEG_SMYS_D,Unknown,PIPE:MAOP_RATING,0,PIPE:EXT_COATING_TYPE_D,FBE,PIPE:EXT_COATING_SUBTYPE_D,FBE,PIPE:EXT_COATING_MATERIAL_D,AXIS PIPE,PIPE:EXT_COATING_THICKNESS,UNKNOWN,PIPE:EXT_COATING_MNFCTR_D,VALSPAR,PIPE:EXT_COATING_PRODUCT_NAME,UNKNOWN,PIPE:EXT_COATING_APLCTR_D,UNKNOWN,PIPE:EXT_COATING_WHR_APLD_D,UNKNOWN,PIPE:EXT_COATING_DATE_APPLIED,4/17/2025,PIPE:INT_COATING_TYPE_D,BARE,PIPE:INT_COATING_SUBTYPE_D,UNKNOWN,PIPE:INT_COATING_MATERIAL_D,BARE,PIPE:INT_COATING_MNFCTR_D,UNKNOWN,PIPE:INT_COATING_PRODUCT_NAME,NONE,PIPE:BEDDING_MATERIAL_D,NATIVE SOIL,PIPE:STD_COMMENTS,,PIPE:STD_DESCRIPTION
0+04.50,RC48471,949410.826,685581.672,4628.071,NG,NG:STD_COMMENTS,DIRT,NG:STD_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+06.50,RC48472,949410.347,685587.164,4623.248,WELD,WELD:DOC,4.8,WELD:MEASUREMENT_METHOD_D,SURVEY,WELD:X_RAY_NUMBER,A-2ML-,WELD:WELDER_ID,D54-L92-L56,WELD:WELD_PASS_LF,YES,WELD:WELDER_ID_BEAD,D54,WELD:WELDER_ID_HOT_PASS,L92,WELD:WELDER_ID_HOT_FILL,L56,WELD:WELDER_ID_CAP,L56,WELD:WELD_THICKNESS,0.25,WELD:WELD_CONDITION_D,EXCELLENT,WELD:EXT_COATING_TYPE_D,WRAP,WELD:EXT_COATING_SUBTYPE_D,UNKNOWN,WELD:EXT_COATING_MATERIAL_D,RD-6,WELD:EXT_COATING_THICKNESS,UNKNOWN,WELD:EXT_COATING_MNFCTR_D,UNKNOWN,WELD:EXT_COATING_PRODUCT_NAME,UNKNOWN,WELD:EXT_COATING_APLCTR_D,UNKNOWN,WELD:EXT_COATING_WHR_APLD_D,ON SITE,WELD:EXT_COATING_DATE_APPLIED,4/17/2025,WELD:STD_COMMENTS,,WELD:STD_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+07.00,RC48473,949430.854,685588.507,4623.656,PIPE,PIPE:JOINT,2JT-95,PIPE:JOINT LENGTH,44.9,PIPE:PIPE_LENGTH_HEAT_NUMBER,A501531,PIPE:ABOVE_GROUND_STATUS_D,BELOW GROUND,PIPE:CATH_PRTCTN_RNG_PRT_LF_D,YES,PIPE:CATH_PRTCTN_RNG_TYPE_D,MAGNESIUM BAGS,PIPE:PIPE_LENGTH_END_TREATMENT_D,UNKNOWN,PIPE:PIPE_SEG_MANUFACTURER_D,AXIS,PIPE:PIPE_SEG_DATE_MANUFACTURED,4/17/2025,PIPE:PIPE_SEG_MILL_LOC_D,UNKNOWN,PIPE:PIPE_SEG_MILL_TST_PRESSURE,2050,PIPE:PIPE_SEG_MATERIAL_D,STEEL,PIPE:PIPE_SEG_NML_DIAM_D,12,PIPE:PIPE_SEG_NML_WAL_THICKNS_G_D,0.25,PIPE:PIPE_SEG_PIPE_LNG_SEAM_D,OTHER,PIPE:PIPE_SEG_SPECIFICATION_D,API 5L,PIPE:PIPE_SEG_PIPE_GRADE_D,X52M,PIPE:PIPE_SEG_SMYS_D,Unknown,PIPE:MAOP_RATING,0,PIPE:EXT_COATING_TYPE_D,FBE,PIPE:EXT_COATING_SUBTYPE_D,FBE,PIPE:EXT_COATING_MATERIAL_D,AXIS PIPE,PIPE:EXT_COATING_THICKNESS,UNKNOWN,PIPE:EXT_COATING_MNFCTR_D,VALSPAR,PIPE:EXT_COATING_PRODUCT_NAME,UNKNOWN,PIPE:EXT_COATING_APLCTR_D,UNKNOWN,PIPE:EXT_COATING_WHR_APLD_D,UNKNOWN,PIPE:EXT_COATING_DATE_APPLIED,4/17/2025,PIPE:INT_COATING_TYPE_D,BARE,PIPE:INT_COATING_SUBTYPE_D,UNKNOWN,PIPE:INT_COATING_MATERIAL_D,BARE,PIPE:INT_COATING_MNFCTR_D,UNKNOWN,PIPE:INT_COATING_PRODUCT_NAME,NONE,PIPE:BEDDING_MATERIAL_D,NATIVE SOIL,PIPE:STD_COMMENTS,,PIPE:STD_DESCRIPTION
0+07.50,RC48474,949455.235,685586.255,4629.345,NG,NG:STD_COMMENTS,DIRT,NG:STD_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+08.00,RC48474,949454.989,685590.075,4624.175,WELD,WELD:DOC,5.1,WELD:MEASUREMENT_METHOD_D,SURVEY,WELD:X_RAY_NUMBER,A-2ML-86,WELD:WELDER_ID,D54-L92-L86,WELD:WELD_PASS_LF,YES,WELD:WELDER_ID_BEAD,D54,WELD:WELDER_ID_HOT_PASS,L92,WELD:WELDER_ID_HOT_FILL,L86,WELD:WELDER_ID_CAP,L86,WELD:WELD_THICKNESS,0.25,WELD:WELD_CONDITION_D,EXCELLENT,WELD:EXT_COATING_TYPE_D,WRAP,WELD:EXT_COATING_SUBTYPE_D,UNKNOWN,WELD:EXT_COATING_MATERIAL_D,RD-6,WELD:EXT_COATING_THICKNESS,UNKNOWN,WELD:EXT_COATING_MNFCTR_D,UNKNOWN,WELD:EXT_COATING_PRODUCT_NAME,UNKNOWN,WELD:EXT_COATING_APLCTR_D,UNKNOWN,WELD:EXT_COATING_WHR_APLD_D,ON SITE,WELD:EXT_COATING_DATE_APPLIED,4/17/2025,WELD:STD_COMMENTS,,WELD:STD_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+08.00,RC48476,949472.207,685591.278,4624.319,PIPE,PIPE:JOINT,2JT-96,PIPE:JOINT LENGTH,45,PIPE:PIPE_LENGTH_HEAT_NUMBER,A501531,PIPE:ABOVE_GROUND_STATUS_D,BELOW GROUND,PIPE:CATH_PRTCTN_RNG_PRT_LF_D,YES,PIPE:CATH_PRTCTN_RNG_TYPE_D,MAGNESIUM BAGS,PIPE:PIPE_LENGTH_END_TREATMENT_D,UNKNOWN,PIPE:PIPE_SEG_MANUFACTURER_D,AXIS,PIPE:PIPE_SEG_DATE_MANUFACTURED,4/17/2025,PIPE:PIPE_SEG_MILL_LOC_D,UNKNOWN,PIPE:PIPE_SEG_MILL_TST_PRESSURE,2050,PIPE:PIPE_SEG_MATERIAL_D,STEEL,PIPE:PIPE_SEG_NML_DIAM_D,12,PIPE:PIPE_SEG_NML_WAL_THICKNS_G_D,0.25,PIPE:PIPE_SEG_PIPE_LNG_SEAM_D,OTHER,PIPE:PIPE_SEG_SPECIFICATION_D,API 5L,PIPE:PIPE_SEG_PIPE_GRADE_D,X52M,PIPE:PIPE_SEG_SMYS_D,Unknown,PIPE:MAOP_RATING,0,PIPE:EXT_COATING_TYPE_D,FBE,PIPE:EXT_COATING_SUBTYPE_D,FBE,PIPE:EXT_COATING_MATERIAL_D,AXIS PIPE,PIPE:EXT_COATING_THICKNESS,UNKNOWN,PIPE:EXT_COATING_MNFCTR_D,VALSPAR,PIPE:EXT_COATING_PRODUCT_NAME,UNKNOWN,PIPE:EXT_COATING_APLCTR_D,UNKNOWN,PIPE:EXT_COATING_WHR_APLD_D,UNKNOWN,PIPE:EXT_COATING_DATE_APPLIED,4/17/2025,PIPE:INT_COATING_TYPE_D,BARE,PIPE:INT_COATING_SUBTYPE_D,UNKNOWN,PIPE:INT_COATING_MATERIAL_D,BARE,PIPE:INT_COATING_MNFCTR_D,UNKNOWN,PIPE:INT_COATING_PRODUCT_NAME,NONE,PIPE:BEDDING_MATERIAL_D,NATIVE SOIL,PIPE:STD_COMMENTS,,PIPE:STD_DESCRIPTION
0+08.00,RC48477,949500.549,685588.715,4629.61,NG,NG:STD_COMMENTS,DIRT,NG:STD_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+08.00,RC48478,949499.817,685593.313,4624.803,WELD,WELD:DOC,4.8,WELD:MEASUREMENT_METHOD_D,SURVEY,WELD:X_RAY_NUMBER,A-2ML-87,WELD:WELDER_ID,D54-L92-L84,WELD:WELD_PASS_LF,YES,WELD:WELDER_ID_BEAD,D54,WELD:WELDER_ID_HOT_PASS,L92,WELD:WELDER_ID_HOT_FILL,L84,WELD:WELDER_ID_CAP,L84,WELD:WELD_THICKNESS,0.25,WELD:WELD_CONDITION_D,EXCELLENT,WELD:EXT_COATING_TYPE_D,WRAP,WELD:EXT_COATING_SUBTYPE_D,UNKNOWN,WELD:EXT_COATING_MATERIAL_D,RD-6,WELD:EXT_COATING_THICKNESS,UNKNOWN,WELD:EXT_COATING_MNFCTR_D,UNKNOWN,WELD:EXT_COATING_PRODUCT_NAME,UNKNOWN,WELD:EXT_COATING_APLCTR_D,UNKNOWN,WELD:EXT_COATING_WHR_APLD_D,ON SITE,WELD:EXT_COATING_DATE_APPLIED,4/17/2025,WELD:STD_COMMENTS,,WELD:STD_DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0+10.00,RC48479,949511.709,685594.145,4624.817,PIPE,PIPE:JOINT,2JT-7,PIPE:JOINT LENGTH,45,PIPE:PIPE_LENGTH_HEAT_NUMBER,A501531,PIPE:ABOVE_GROUND_STATUS_D,BELOW GROUND,PIPE:CATH_PRTCTN_RNG_PRT_LF_D,YES,PIPE:CATH_PRTCTN_RNG_TYPE_D,MAGNESIUM BAGS,PIPE:PIPE_LENGTH_END_TREATMENT_D,UNKNOWN,PIPE:PIPE_SEG_MANUFACTURER_D,AXIS,PIPE:PIPE_SEG_DATE_MANUFACTURED,4/17/2025,PIPE:PIPE_SEG_MILL_LOC_D,UNKNOWN,PIPE:PIPE_SEG_MILL_TST_PRESSURE,2050,PIPE:PIPE_SEG_MATERIAL_D,STEEL,PIPE:PIPE_SEG_NML_DIAM_D,12,PIPE:PIPE_SEG_NML_WAL_THICKNS_G_D,0.25,PIPE:PIPE_SEG_PIPE_LNG_SEAM_D,OTHER,PIPE:PIPE_SEG_SPECIFICATION_D,API 5L,PIPE:PIPE_SEG_PIPE_GRADE_D,X52M,PIPE:PIPE_SEG_SMYS_D,Unknown,PIPE:MAOP_RATING,0,PIPE:EXT_COATING_TYPE_D,FBE,PIPE:EXT_COATING_SUBTYPE_D,FBE,PIPE:EXT_COATING_MATERIAL_D,AXIS PIPE,PIPE:EXT_COATING_THICKNESS,UNKNOWN,PIPE:EXT_COATING_MNFCTR_D,VALSPAR,PIPE:EXT_COATING_PRODUCT_NAME,UNKNOWN,PIPE:EXT_COATING_APLCTR_D,UNKNOWN,PIPE:EXT_COATING_WHR_APLD_D,UNKNOWN,PIPE:EXT_COATING_DATE_APPLIED,4/17/2025,PIPE:INT_COATING_TYPE_D,BARE,PIPE:INT_COATING_SUBTYPE_D,UNKNOWN,PIPE:INT_COATING_MATERIAL_D,BARE,PIPE:INT_COATING_MNFCTR_D,UNKNOWN,PIPE:INT_COATING_PRODUCT_NAME,NONE,PIPE:BEDDING_MATERIAL_D,NATIVE SOIL,PIPE:STD_COMMENTS,,PIPE:STD_DESCRIPTION
